"asset_id","author_id","created_on"
"51","55","2018-09-25 17:22:56.24139"
"52","56","2018-09-25 17:22:59.19691"
"53","57","2018-09-25 17:23:02.760066"
"54","58","2018-09-25 17:23:06.28084"
"49","53","2018-09-25 17:23:10.055879"
"50","54","2018-09-25 17:23:13.011295"
"1","1","2018-09-25 17:23:34.00319"
"2","1","2018-09-25 17:23:39.383433"
"3","2","2018-09-25 17:23:42.91206"
"6","4","2018-09-25 17:23:47.759268"
"8","5","2018-09-25 17:23:52.352142"
"9","6","2018-09-25 17:23:56.122421"
"55","60","2018-10-24 17:39:34.731253"
"55","61","2018-10-24 17:39:34.731253"
"55","62","2018-10-24 17:39:34.731253"
"56","60","2018-10-31 13:47:26.704234"
"56","43","2018-10-31 13:47:26.704234"
"56","47","2018-10-31 13:47:26.704234"
"56","45","2018-10-31 13:47:26.704234"
"57","60","2018-10-31 14:01:07.230476"
"57","43","2018-10-31 14:01:07.230476"
"57","47","2018-10-31 14:01:07.230476"
"57","45","2018-10-31 14:01:07.230476"
"57","1","2018-10-31 14:01:07.230476"
"57","63","2018-10-31 14:01:11.70536"
"59","43","2019-03-13 19:20:16.132622"
"60","40","2019-03-13 19:37:51.762673"
"60","45","2019-03-13 19:37:51.762673"
"61","60","2019-03-13 19:46:10.678715"
"61","64","2019-03-13 19:46:10.678715"
"61","62","2019-03-13 19:46:10.678715"
"62","29","2019-03-20 19:17:32.267364"
"63","66","2019-03-27 17:43:52.465526"
"65","29","2019-04-03 15:41:24.287699"
"66","60","2019-04-10 12:43:57.083823"
"67","39","2019-04-17 13:40:06.60291"
"67","40","2019-04-17 13:40:06.60291"
"68","9","2019-04-24 15:44:47.624414"
"69","43","2019-05-02 17:05:32.192106"
"70","23","2019-05-08 15:18:57.672513"
"71","67","2019-05-15 16:31:36.592521"
"71","68","2019-05-15 16:31:41.257722"
"72","69","2019-05-22 12:31:27.18864"
"72","70","2019-05-22 12:31:30.809828"
"73","44","2019-05-29 15:23:36.946302"
"75","47","2019-06-12 14:54:46.69501"
"76","71","2019-06-19 17:03:13.729867"
"77","63","2019-07-03 14:55:23.093965"
"78","63","2019-07-10 15:30:09.558398"
"78","72","2019-07-10 15:30:09.558398"
"78","73","2019-07-10 15:30:09.558398"
"78","74","2019-07-10 15:30:09.558398"
"10","8","2018-09-25 17:20:34.640152"
"10","9","2018-09-25 17:20:35.446662"
"15","14","2018-09-25 17:20:43.526489"
"17","7","2018-09-25 17:20:46.748633"
"17","16","2018-09-25 17:20:47.559616"
"21","24","2018-09-25 17:20:50.248943"
"24","28","2018-09-25 17:20:54.04378"
"26","29","2018-09-25 17:20:56.998855"
"28","30","2018-09-25 17:21:01.590999"
"29","1","2018-09-25 17:21:05.355825"
"30","28","2018-09-25 17:21:08.33266"
"31","31","2018-09-25 17:21:11.307053"
"31","32","2018-09-25 17:21:12.133719"
"32","1","2018-09-25 17:21:14.825543"
"33","33","2018-09-25 17:21:19.983263"
"33","34","2018-09-25 17:21:20.789801"
"34","35","2018-09-25 17:21:23.836554"
"34","28","2018-09-25 17:21:24.641855"
"35","14","2018-09-25 17:21:27.635459"
"35","36","2018-09-25 17:21:28.469344"
"36","37","2018-09-25 17:21:33.848054"
"36","38","2018-09-25 17:21:34.660162"
"37","1","2018-09-25 17:21:38.190796"
"38","39","2018-09-25 17:21:41.711309"
"38","40","2018-09-25 17:21:42.521106"
"39","41","2018-09-25 17:21:45.793738"
"39","42","2018-09-25 17:21:46.63313"
"40","43","2018-09-25 17:21:50.129788"
"40","44","2018-09-25 17:21:50.937868"
"40","45","2018-09-25 17:21:51.745577"
"42","47","2018-09-25 17:21:54.756178"
"43","33","2018-09-25 17:21:58.291642"
"43","28","2018-09-25 17:21:59.096874"
"43","48","2018-09-25 17:21:59.909319"
"44","49","2018-09-25 17:22:02.934074"
"45","1","2018-09-25 17:22:05.897401"
"5","1","2018-09-25 17:22:08.592751"
"12","11","2018-09-25 17:22:11.550677"
"12","12","2018-09-25 17:22:12.359156"
"14","13","2018-09-25 17:22:15.326056"
"16","15","2018-09-25 17:22:18.285564"
"18","17","2018-09-25 17:22:21.247994"
"18","18","2018-09-25 17:22:22.053848"
"19","19","2018-09-25 17:22:25.013679"
"19","20","2018-09-25 17:22:25.82676"
"19","21","2018-09-25 17:22:26.633655"
"20","22","2018-09-25 17:22:29.598382"
"20","23","2018-09-25 17:22:30.40831"
"41","41","2018-09-25 17:22:33.415205"
"41","46","2018-09-25 17:22:34.224901"
"22","25","2018-09-25 17:22:37.768872"
"23","26","2018-09-25 17:22:40.79548"
"23","59","2018-09-25 17:22:41.609582"
"25","1","2018-09-25 17:22:44.589002"
"46","50","2018-09-25 17:22:48.106823"
"47","51","2018-09-25 17:22:50.278596"
"48","52","2018-09-25 17:22:53.270343"
"74","49","2019-07-16 15:09:55.419917"
"74","75","2019-07-16 15:09:59.786017"
"79","63","2019-07-17 13:40:47.730003"
"79","72","2019-07-17 13:40:47.730003"
"79","74","2019-07-17 13:40:47.730003"
"79","73","2019-07-17 13:40:47.730003"
"80","63","2019-07-25 14:05:07.891498"
"80","72","2019-07-25 14:05:07.891498"
"80","73","2019-07-25 14:05:07.891498"
"80","74","2019-07-25 14:05:07.891498"
"81","63","2019-07-31 15:01:56.018405"
"81","72","2019-07-31 15:01:56.018405"
"81","73","2019-07-31 15:01:56.018405"
"81","74","2019-07-31 15:01:56.018405"
