"option_id","preference_id","option_name","aem_pref_id"
"1","11","Artificial Intelligence (AI)","tcs:perspectives/themes/ai"
"2","11","Internet of Things (IoT)","tcs:perspectives/themes/iot"
"3","11","Analytics","tcs:perspectives/themes/analytics"
"4","11","Customer Experience (Cx)","tcs:perspectives/themes/cx"
"5","11","Cloud","tcs:perspectives/themes/cloud"
"6","11","Agile","tcs:perspectives/themes/agile"
"7","11","Leadership","tcs:perspectives/themes/leadership"
"8","10","Banking & Financial Services","tcs:industries/banking-and-financial-services"
"11","11","Mergers & Acquisitions (M&A)","tcs:perspectives/themes/mergers-acquisitions"
"12","10","Manufacturing","tcs:industries/manufacturing"
"13","11","Digital Transformation","tcs:perspectives/themes/digital-transformation"
"10","10","Life Sciences & Healthcare","tcs:industries/life-sciences-and-healthcare"
"17","10","Retail","tcs:perspectives/themes/retail"
"18","11","Digital Data","""tcs:perspectives/themes/digital-data"""
"19","11","Machine First Delivery Model","tcs:perspectives/themes/machine-first-delivery-model"
"20","12","CFO","tcs:perspectives/roles/cfo"
"21","12","CEO","tcs:perspectives/roles/ceo"
"22","12","CMO","tcs:perspectives/roles/ceo"
"24","10","Travel, Transportation and Hospitality","tcs:perspectives/themes/transportation-and-hospitality"
